STATION,NAME,DATE,PRCP,SNOW,SNWD
USW00014765,"PROVIDENCE, RI US",1/1/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/2/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/3/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/4/20,0.14,0,0
USW00014765,"PROVIDENCE, RI US",1/5/20,0.08,0,0
USW00014765,"PROVIDENCE, RI US",1/6/20,0,0.1,0
USW00014765,"PROVIDENCE, RI US",1/7/20,0.05,0.5,0
USW00014765,"PROVIDENCE, RI US",1/8/20,0.01,0.1,0
USW00014765,"PROVIDENCE, RI US",1/9/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/10/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/11/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/12/20,0.14,0,0
USW00014765,"PROVIDENCE, RI US",1/13/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/14/20,0.01,0,0
USW00014765,"PROVIDENCE, RI US",1/15/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/16/20,0.07,0,0
USW00014765,"PROVIDENCE, RI US",1/17/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/18/20,0.34,2.9,0
USW00014765,"PROVIDENCE, RI US",1/19/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/20/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/21/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/22/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/23/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/24/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/25/20,0.42,0,0
USW00014765,"PROVIDENCE, RI US",1/26/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/27/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/28/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/29/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/30/20,0,0,0
USW00014765,"PROVIDENCE, RI US",1/31/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/1/20,0.06,0,0
USW00014765,"PROVIDENCE, RI US",2/2/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/3/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/4/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/5/20,0.11,0,0
USW00014765,"PROVIDENCE, RI US",2/6/20,0.39,0,0
USW00014765,"PROVIDENCE, RI US",2/7/20,0.36,0,0
USW00014765,"PROVIDENCE, RI US",2/8/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/9/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/10/20,0.09,0,0
USW00014765,"PROVIDENCE, RI US",2/11/20,0.38,0,0
USW00014765,"PROVIDENCE, RI US",2/12/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/13/20,0.79,0,0
USW00014765,"PROVIDENCE, RI US",2/14/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/15/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/16/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/17/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/18/20,0.09,0,0
USW00014765,"PROVIDENCE, RI US",2/19/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/20/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/21/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/22/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/23/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/24/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/25/20,0.05,0,0
USW00014765,"PROVIDENCE, RI US",2/26/20,0.04,0,0
USW00014765,"PROVIDENCE, RI US",2/27/20,0.85,0,0
USW00014765,"PROVIDENCE, RI US",2/28/20,0,0,0
USW00014765,"PROVIDENCE, RI US",2/29/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/1/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/2/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/3/20,0.25,0,0
USW00014765,"PROVIDENCE, RI US",3/4/20,0.05,0,0
USW00014765,"PROVIDENCE, RI US",3/5/20,0,0,0
USW00014765,"PROVIDENCE, RI US",3/6/20,0.09,0.1,0
